Affluence,Disadvantage,Violent,UrbanRate,Latitude,Longtitude,avemort
-0.166825323,-0.242248915,0.21599,0.44241,34.053,-93.176,1.0499
-1.058909851,-0.176541552,0.30832,0.38191,36.367,-90.419,1.1256
-0.42206675,-0.527789454,1.1766,0.2254,35.566,-92.06,0.95239
-0.962547671,-0.29944234,-0.013765,0,33.893,-92.189,1.0544
-0.211455327,0.526618739,1.8168,0.40816,33.223,-93.233,1.0962
-0.496222097,0.262288907,0.080117,0.27596,35.266,-92.689,1.0352
0.203701809,-0.040676878,1.1009,0.64919,35.828,-90.63,1.0554
-0.552232687,0.087777026,0.99015,0.45114,35.583,-94.236,1.0965
-0.36655017,0.874133901,2.4912,0.79709,35.212,-90.315,1.2752
-0.689273954,0.648560065,1.4372,0.41396,35.291,-90.774,1.1567
-1.010993973,0.536611467,2.1479,0.45005,33.968,-92.654,1.1649
-0.587639354,1.422423193,1.9971,0.64631,33.829,-91.244,1.1584
-0.213420016,0.847162536,0.89855,0.46515,33.587,-91.723,1.0457
0.609188854,0.012695667,0.87464,0.51108,35.146,-92.325,0.9799
-0.839995769,-0.118440332,0.52122,0.15942,35.509,-93.888,1.0373
-0.848198472,0.142138683,0.15307,0.093712,36.383,-91.819,0.97954
0.032799381,-0.240939817,1.5599,0.63311,34.579,-93.147,1.0483
-0.354253887,-0.643587308,-0.62511,0.22589,34.288,-92.424,1.0794
-0.605305163,-0.213665134,0.38061,0.51108,36.12,-90.565,1.096
-0.750675429,0.504913915,1.4573,0.44105,33.729,-93.666,1.0674
-0.711543139,-0.391515905,1.1027,0.30073,34.315,-92.944,1.0495
-0.634453725,-0.255004161,-0.75291,0.33769,34.083,-93.991,1.1297
-0.49485584,-0.115177483,0.55529,0.31391,35.737,-91.56,1.0499
-1.013342773,-0.590214846,0.44243,0,36.095,-91.914,1.0209
-0.667460811,0.455899088,1.5667,0.38218,35.597,-91.223,1.1751
-0.171658769,1.026370702,2.6783,0.69337,34.278,-91.931,1.1455
-0.611252713,0.241738606,-0.81023,0.24046,35.573,-93.466,1.009
-0.704054672,0.812801595,-0.1382,0,33.241,-93.612,1.1011
-1.042097041,-0.055953274,0.86253,0.35529,36.041,-91.101,1.0969
-1.117370452,2.564385979,1.5768,0.41041,34.78,-90.779,1.1664
-0.872337022,0.491048145,0.75268,0,33.958,-91.728,1.0021
-0.55703224,0.215250853,0.41839,0.27377,33.699,-94.23,1.087
